review,rating,date,language,restaurant
"Un ringraziamento ai gestori per la cortesia e la disponibilità con cui ci hanno illustrato la loro cucina. Nessuna difficoltà con la lingua, italiano e inglese fluenti. In un ambiente confortevole e amichevole, abbiamo gustato pietanze  completamente diverse dalla nostra consuetudine ma veramente molto ma...molto gustose.. Anche l'occhio ha avuto la sua parte , i vari colori degli ingredienti dicevano già:-mangiami!- . Una bella selezione di birre. Prezzo giusto per quanto mangiato. Merita una tappaPiù",50,luglio 2021,IT,Lato Café - Breakfast Brunch y Ceviches
"Sono andato con i miei amici e ho adorato il posto. L'idea di un brunch tropicale / andino è geniale! La nostra prima scelta: i Benedicts (waffle yucca, bacon e uova in camicia!) E French toast (vengono con salsa al tamarindo?). I succhi erano molto...buoni e la specialità di caffè super gustosa e molto ben presentata (ho preso una lama sul mio cappuccino?). Anche il personale è stato gentile. Una sorpresa davvero speciale a Barcellona!Più",50,ottobre 2020,IT,Lato Café - Breakfast Brunch y Ceviches
"Ho davvero adorato il posto.
Decorazione, servizio, varietà di piatti tutto era eccellente.
Rapporto qualità-prezzo, tutti gli ingredienti sono freschi e ho adorato il cibo.
Il proprietario è molto gentile
Mi è piaciuto molto e di sicuro torneremo.
PS
Hanno una bella terrazza fuori quindi...se pensi di venire con il tuo cane sentiti libero :-)Più",50,ottobre 2020,IT,Lato Café - Breakfast Brunch y Ceviches
"Un posto molto carino e il personale è molto gentile. I ""Pancakes cl sicos"" sono molto gustosi! Devi provarli. Ha anche una vasta gamma di piatti senza glutine e lattosio. Il venerdì e il sabato è la serata del ceviche e dei cocktail. Il Pisco...Sour era così buono. Un ristorante molto carino che devi visitare!Più",50,settembre 2020,IT,Lato Café - Breakfast Brunch y Ceviches
"Solo fantastico, prezzi ragionevoli per un brunch perfetto, tempo di attesa inesistente e una qualità indescrivibile, da tornarci!",50,gennaio 2022,IT,Cremat Lounge
"Un buono posto per fare colazione brunch a bcn, ragazzi gentili , francesi , con una pulizia e ricerca dei prodotti molto interessante! Consigliatissimo!!

A good place to have breakfast brunch in bcn, nice guys, French, with a very interesting cleaning and product search!  Highly...recommended !!Più",50,agosto 2021,IT,Cremat Lounge
"Siamo capitati per caso dal presidente perché  si trova difronte  al nostro hotel , i proprietari ragazzi simpatici, svelti e pratici, la pinza che fanno è  veramente buona,ovviamente fanno un sacco di altre cose buone, beverage  ottimo , prezzi onestissimi , meritano una visita.",50,febbraio 2023,IT,Dal Presidente
"Locale molto carino e accogliente, cucina ottima abbiamo mangiato la pizza più buona di Barcellona . Pinsa ottima , tutto ottimo , ci torniamo sicuramente",50,gennaio 2023,IT,Dal Presidente
"personale magnifico, accogliente e divertente. ottimo per la pizza e per passare una serata divertente. lo consigliamo assolutamente",50,gennaio 2023,IT,Dal Presidente
"Ci avete fatto sentire come se fossimo a casa...posto meraviglioso...
Ottimo cibo italiano di qualità ....ma soprattutto la simpatia e la compagnia di Alessandro il proprietario che ci ha intrattenuti tutta la serata e ha reso il tutto più piacevole e divertente...grazie per questa serata...insieme...torneremo presto a trovarti🤪😂❤️Più",50,gennaio 2023,IT,Dal Presidente
Ho  letto le recinsioni su tripadvisor Ee ho voluto provare  e dv dire che abbiamo fatto bene  tutto super lo  consiglio xche ci siamo sentiti in italia anche essendo a barcellona,50,gennaio 2023,IT,Dal Presidente
Il top del top una delle migliori pizze di Barcellona e ti senti come a casa ottima birra e dolci come il cannolo siciliano sono italianissimo,50,dicembre 2022,IT,Dal Presidente
"Se siete tifosi della Roma a Barcellona, andateci per vedere le partite. Si mangia una buona pinsa e si sta tra fratelli romanisti. Io l'ho fatto, abbiamo vinto (Torino-Roma 0-3) e ci siamo qualificati in Europa League. Col Presidente parlate italiano, romanesco meglio ancora!",50,maggio 2022,IT,Dal Presidente
Sono stata con degli amici a cena in questo locale favoloso !!! Abbiamo mangiato un’ottima pinsa romana e degustato un vino rosso italiano eccezionale!!!! Il tutto allietato da un personale molto disponibile e attento !!! Consiglio tantissimo!!!,50,aprile 2022,IT,Dal Presidente
"Aperitivi e pinse al top, servizio velocissimo. Numero 1 indiscusso a Barcellona, tappa obbligatoria. Daje presideeeee è sempre forza Roma !",50,aprile 2022,IT,Dal Presidente
Da scoprire!... per me è stata una piacevole sosta! Otti.a accoglienza. Consigliatissimoooooooo.. per italiani e mon solo,50,febbraio 2022,IT,Dal Presidente
"Birra, serie A, buona pinsa Romana e ambiente stupendo. Da ritornarci volentieri. Se poi siete tifosi della magica roma, top!",50,gennaio 2022,IT,Dal Presidente
La pizza è spettacolare.... La meglio che puoi trovare a Barcellona...croccante leggera e muy sabrosa....insomma con il Presidente va sul sicuro sempre🙌🙌🤟🏼🤟🏼🤟🏼,50,novembre 2021,IT,Dal Presidente
"Posto unico a Barcellona, staff super simpatico e gentile, pionieri della pinsa romana, ottimo mix qualità con quantità. Possibilità di vedere football, molto raccomandi.",50,luglio 2021,IT,Dal Presidente
"Prima di tutto grande cibo di qualità, vera pizza romana e vera porchetta romana, posto pulito e accogliente e il personale molto divertente",50,luglio 2021,IT,Dal Presidente
"Grazie pres per questa serata! Mangiare è un piacere così come lo é bere, che qualità... ci torneremo sicuramente! Consigliato per chi vuole provare cibo romano.",50,luglio 2021,IT,Dal Presidente
"Abbiamo trovato un’atmosfera unica dentro un bar accogliente e vivace. Quello che servono è eccelso, sia da bere che da mangiare. Vale la pena passare da questo posto per trovare cose uniche nella zona. Consigliato a tutti, grazie pres ! Da ravenna per te!",50,luglio 2021,IT,Dal Presidente
"La meglio pinsa romana de Barcellona!
Personale molto attento ed accogliente! Tutti prodotti italiani di prima qualità. Da ripetere assolutamente",50,marzo 2021,IT,Dal Presidente
"Prodotti tipici italiani, dalla porchetta all'aperol spritz, prodotti freschi e buonissimi, io vado spesso per il caffè perché è buonissimo, poi vicinissimo plaza espanya, nella zona non troverai altre caffetterie così e con la simpatia dello staff e del presidente stesso, personale 10! Consigliatissimo!",50,marzo 2021,IT,Dal Presidente
"Ci sono stato quest estate, uno spicchio di Roma al centro di Barcellona. Pinza piu buona che in Italia, spritz e cocktail fatti molto bene, personale gentile e premuroso e il proprietario veramente una brava persona.
Da tornarci sicuro.",50,marzo 2021,IT,Dal Presidente
"ammazzali c hanno la pinsa romana che fa' invidia a quella de Roma centro....tutto da paura!!!!!
grandiiii!!!!
er proprietario è  n'tajo!!!😜",50,gennaio 2021,IT,Dal Presidente
Cibo delizioso e straordinaria attenzione al cliente da parte dello staff. Il modo in cui ti spiegano i piatti ti rende semplicemente affascinato da ogni portata. Super consigliato!,50,febbraio 2023,IT,Con Gracia
"Sono stato due giorni fa con la mia compagna, durante un viaggio a Barcellona. Sono stato colpito dalla gentilezza e professionalità di Jorge e tutto lo staff. Locale intimo e menu fantastico, da ripetere!",50,gennaio 2023,IT,Con Gracia
"Speciale
Un ristorante davvero sensazionale dove ti spiegano tutte le portate tengono conto delle varie esigenze di ogni cliente i piatti sono molto curati nei minimi dettagli sono belli da vedere e gustosi sono molto accoglienti cordiali e gentili con i clienti
Tutto top servizio...ambiente cucina e cura nei dettagliPiù",50,ottobre 2022,IT,Con Gracia
"Pesce molto buono ma non molto abbondante, antipasti gradevoli ma poco coerenti tra loro. Servizio sufficiente",40,luglio 2022,IT,Con Gracia
"Ristorante intimo e accogliente a Gracia. La ricerca, la proposta e le materie prime sono davvero di grande qualità. Piatti originali, ben equilibrati e di alto livello per il prezzo della cena. Tutto ottimo dagli antipasti al dolce (nota particolare al dessert!) super disponibili ad...adattare il menu per persone che hanno intolleranza, cliente coccolato e professionalità e simpatia da parte dei titolari. ProvateloPiù",50,aprile 2022,IT,Con Gracia
"Abbiamo trovato questo ristorante per puro caso e ci siamo andati per San Valentino, abbiamo mangiato benissimo. Abbiamo scelto il menu degustazione a sorpresa e ci hanno saputo stupire dall’antipasto al dolce.
Personale gentilissimo e disponibile, servizio impeccabile. Ottimo anche l’abbinamento cibo-vino ad ogni portata....Atmosfera molto bella!Più",50,febbraio 2022,IT,Con Gracia
"La cena è stata a dir poco memorabile. A partire dal gestore che ci ha accompagnati attraverso la degustazione rendendola un po’ più speciale attraverso aneddoti e indovinelli. Ogni piatto nascondeva qualcosa di particolare e nuovo, cosa che ci lasciava piacevolmente sorpresi a ogni portata....Sicuramente ritorneremo!Più",50,ottobre 2020,IT,Con Gracia
"Cena fantastica, ambiente super intimo molto. Locale piccolino, pochi coperti, ma a parer mio bello per questo! Molta attenzione per il cliente, spiegazione dei piatti, gentilezza e simpatia del personale.... Cibo ottimo! Tanti piccoli piatti, tutti uno più buono dell'altro noi in particolare abbiamo provato...il menù experience cioè a sorpresa... Consigliatissimo se si vuole passare una serata diversa e anche romantica ❤️ spero di tornarci per provare tutti gli altri piatti... Prezzi giusti per l'esperienza 😊Più",50,agosto 2020,IT,Con Gracia
"Locale al top !menù a sorpresa superlativo ...una meraviglia per gli occhi e un'emozione per il gusto.
Personale veramente affabile e disponibile .
Lo consiglio vivamente",50,luglio 2019,IT,Con Gracia
"Il ristorante merita una visita almeno una volta che si è a Barcellona...
Piatti unici e raffinati... Si vede che c'è una ricerca continua sui piatti...
Personale gentile e disponibile...
Discorso a parte meritano i vini... Diciamo che la scelta primaria è quella di proporre...prodotti locali tenuto conto che gli altri vini in lista ( prettamente francesi e neozelandesi) sono con un ricarico decisamente troppo alto...
Grazie per la simpatia e l'accoglienza veramente squisita...Più",50,gennaio 2019,IT,Con Gracia
"Confermo pienamente tutte le ottime recensioni di questo ristorante nel cuore del centralissimo quartiere Gracia. Il menù degustazione è davvero un capolavoro di creatività, innovazione e ricerca. Complimenti allo chef e ai titolari. Davvero molto bravi, tutti. Unica osservazione che mi sento di muovere riguarda...Più",50,novembre 2018,IT,Con Gracia
"Piccolo e nel cuore di Barcellona, è stato teatro della miglior cena di tutta la nostra permanenza in Spagna. Appena entrati inizia un’esperienza culinaria unica nel suo genere. L’unica scelta concessa dallo chef è tra due menù (tradizionale e sorpresa). Il tradizionale è senza dubbio...Più",50,agosto 2018,IT,Con Gracia
"Cena per due in questo piccolissimo ristorante ,accolti dal gentile titolare del locale ,ci propone il menù degustazione,che risulterà essere veramente interessante ,piatti molto curati frutto di un ‘attenta ricerca di accostamenti anche nuovi,che sorprendono il palato.
Prezzi elevati ca.80 euro a persona con un...Più",50,novembre 2017,IT,Con Gracia
"Grandissima esperienza. Abbiamo scelto il menù a sorpresa dello chef: impiattamento perfetto, piatti  equilibrati e mai scontati. L’abbinamento dei vini al calice è stato ottimo, così come il servizio. Continuate cosi! Ci ritorneremo sicuramente, BRAVI!!!",50,ottobre 2017,IT,Con Gracia
"Locale carino e ottimo vino , servizio lento per mancanza di personale in compenso al num dei clienti  ma vale la pena fermarsi a mangiare qui ! Tornerò sicuramente a trovarli",40,luglio 2017,IT,Con Gracia
Bel posticino con servizio eccellente e portate particolari ma di sapore squisito. Abbiamo scelto un menú con sapori da indovinare che ha allietato la nostra serata. E' un pó caro ma vale sicuramente la pena.,50,aprile 2017,IT,Con Gracia
"Serata particolare viaggio nei sapori e nelle sensazioni organolettiche, da ripetere anche se il conto non é popolare. Il costo comunque é ampiamente ripagato.",40,aprile 2017,IT,Con Gracia
Un esperienza incredibile!!! Siamo stati fortunati abbiamo trovato un tavolo in questo ristorantino che conta non più di una ventina di posti! Abbiamo scelto il menù degustazione a sorpresa dello chef! Abbiamo apprezzato la ricerca nell'abbinamento dei sapori e la cura nel dettaglio nella presentazione...Più,50,aprile 2017,IT,Con Gracia
"Incuriositi dall'esperienza, che il ristorante vorrebbe proporre offrendo ai suoi ospiti due menù (uno prefissato dallo chef (?!) l'altro a sorpresa) ci siamo lasciati guidare da quel giusto approccio che l'aspettativa di un'esperienza di cucina avrebbe richiesto, scegliendo il menù a sorpresa. Non abbiamo purtroppo...Più",30,aprile 2017,IT,Con Gracia
"Menú degustazione sorprendente e fantasioso. Sapori innovativi e non scontati. Pietanze di assolutá qualitá e servizio da grande ristorazione. Prezzo/qualitá adeguato soprattutto x barcellona, menú degustazione dei vini a mio avviso nn all' altezza. Non il classico locale. Consigliato.",50,aprile 2017,IT,Con Gracia
Il ristorante perfetto per provare tapas e bere cocktails di qualità. Ho provato il ceviche tropical e senza dubbio il miglior Pisco Sour della città. I proprietari sono gentilissimi è molto professionali… torneremo presto!,50,febbraio 2023,IT,Kiltro Restobar
"Stiamo stati a cena in questo ristorante davvero carino, ma piccolino, quindi necessaria la prenotazione. Ambiente accogliente e proprietari molto simpatici, quando siamo andati noi uno dei camerieri era italiano, ma non abbiamo avuto alcun bisogno di ""assistenza"". La cucina proposta è messicana ed c'è...anche una ottima scelta di cocktail.
Qualità ottima e prezzi convenienti.Più",50,dicembre 2022,IT,Kiltro Restobar
"Locale piccolo ma molto molto  accogliente ,proprietari simpatici ,cibo ottimo...prezzo onestissimo ,lo consiglio",50,giugno 2022,IT,Kiltro Restobar
"Il miglior messicano che abbia mai mangiato!!! Buonissimo tutto, anche i cocktail anche se un pochino costosi 😵‍💫❤️‍🔥",50,aprile 2022,IT,Kiltro Restobar
"Bello come quello che mi era stato detto che sarebbe stato. Ho scoperto l'incredibile Pisco Sour con del buon cibo (non super sofisticato ma perfetto per l'esperienza del drink). Servizio eccellente, adesivi in regalo e nel complesso un'atmosfera molto buona in questo posto. Un po...'caro quindi guarda le bevande.Più",50,ottobre 2020,IT,Kiltro Restobar
"Sono andato a Kiltro la scorsa settimana ed è sicuramente un posto in cui tornerò volentieri e lo consiglierò a parenti / amici. È un bar accogliente e suggestivo ei proprietari sono molto accoglienti, cordiali, personali e puoi vedere che hanno una passione per il...loro lavoro. I cocktail erano fantastici, così come il cibo. Abbiamo provato il ceviche, i patacones e il guacamole ed era delizioso! I ragazzi sanno cos'è la vera ospitalità e renderanno sicuramente la vostra visita memorabile! Lo puoi vedere nel servizio, nella preparazione e nell'esposizione dei piatti e nell'atmosfera generale.

Assolutamente da visitare e gemma nascosta di Gracia! :)Più",50,agosto 2020,IT,Kiltro Restobar
"È un must a Barcellona, onestamente lo consiglio vivamente a gruppi di amici o coppie che vogliono vivere un'eccellente esperienza gastronomica latina e degustazione di vini e cocktail. . .

Congratulazioni ragazzi! ! ! ! ! !Più",50,agosto 2020,IT,Kiltro Restobar
"Sono stato a Kiltro 2 volte quest'estate.
Intendo. . . . Ricorderò per sempre il loro Pisco Sour e il Ceviche, credo? È una squadra appassionata e puoi sicuramente sentirlo. Il locale è caldo e accogliente, i piatti sono ricchi di sapori, realizzati con ingredienti...di qualità in modo innovativo, i cocktail sono di alta classe e decisamente realizzati con passione. . . in altre parole, un luogo da visitare: altamente consigliato!Più",50,agosto 2020,IT,Kiltro Restobar
"Sono la seconda volta a Barcellona ora e visito di nuovo Kiltro e lo adoro ancora! ! !
Soprattutto la Michelada e il ceviche, anche i cocktail tiki, personale super gentile e servizio eccellente! !
Un must quando vieni a Barcellona! !Più",50,agosto 2020,IT,Kiltro Restobar
"Cibo e cocktail! abbiamo scelto due diciture + due cocktail, tutto era perfetto ma la cosa che ha fatto la differenza è stata quanto DIVERTENTE è stata tutta l'esperienza! ! Non ricordo il tuo nome ragazzi! ! Ma non dimenticherò quella notte! !Più",50,luglio 2020,IT,Kiltro Restobar
"Un momento così fantastico che abbiamo trascorso qui! Il cibo era incredibile e le bevande erano incredibili. Ogni domanda che abbiamo avuto ha avuto una risposta perfetta ei camerieri erano fantastici!
Lo consiglio vivamente!Più",50,luglio 2020,IT,Kiltro Restobar
"Una gemma nascosta proprio accanto alla nostra sala da biliardo preferita. Una sera abbiamo scoperto il cibo e le bevande fantastici al kiltro e siamo diventati clienti abituali in questo bar e ristorante. Il team del personale è così adorabile, interessante ed entusiasta e multilingue,...il che è un ulteriore vantaggio per gli stranieri. Ogni bevanda ha una storia unica e ingredienti interessanti. Sapori, aromi e bevande sempre nuovi per stupire anche chi non è un cocktail. 10 su dieci. Brave persone che gestiscono io e mia moglie il posto preferitoPiù",50,giugno 2020,IT,Kiltro Restobar
"Kiltro è il nostro preferito! ! Il loro cibo è fantastico, i loro drink sono fantastici e il personale è così gentile e cordiale. Sono incredibilmente accomodanti per le allergie alimentari. Assolutamente al di sopra e al di là!Più",50,giugno 2020,IT,Kiltro Restobar
"Abbiamo prenotato qui a seguito delle recensioni su TripAdvisor e altri siti di riferimento. È stato fantastico, cibo delizioso, birra gustosa e un'atmosfera fantastica e un prezzo ragionevole. Luis si è preso cura di noi davvero bene, servizio buono e discreto.
Consiglio vivamente di andare...qui, prova il manzo.Più",50,marzo 2020,IT,Kiltro Restobar
Fant stico! Questo posto offre cibo delizioso e cocktail divertenti e innovativi. Abbiamo incontrato uno dei proprietari e puoi dire che è appassionato del suo mestiere.Più,50,marzo 2020,IT,Kiltro Restobar
Il miglior Michelada a Barcellona. Cocktail e cibo molto carini. Sono andato al Kiltro Bar con alcuni amici e tornerò di nuovo!Più,50,febbraio 2020,IT,Kiltro Restobar
"Oh mio Dio, il cibo è buono da morire. Ottieni un buon rapporto qualità-prezzo e un servizio eccellente da parte del proprietario Francis e dei suoi adorabili dipendenti. Ritorneremo ancora e ancora. Adoro questo posto e il cibo.Più",50,febbraio 2020,IT,Kiltro Restobar
Grande pisco e ottimo vermut. Autentica atmosfera latinoamericana. Sicuramente una visita da non perdere in Grecia se stai cercando ottimi cocktail e un gusto genuino della cultura latina.Più,50,dicembre 2019,IT,Kiltro Restobar
"Il cibo qui è fantastico! Servono cibo tradizionale latinoamericano. Avevamo quelle patatine fritte alla banana, nachos, tacos, torte e alcuni cocktail e posso consigliare tutto. Anche il personale è davvero gentile. La prossima volta che sarò a Barcellona, saprò sicuramente dove andarePiù",50,dicembre 2019,IT,Kiltro Restobar
"Inciampato su questo bar sulla via del ritorno al nostro Airbnb, finì per essere il nostro ""go-to"" bar per tutto il viaggio. Ottima atmosfera, il barista Francis era incredibile. Bevi tutto ciò che raccomanda. Non rimarrete delusi!Più",50,maggio 2019,IT,Kiltro Restobar
"Servizio ottimo, personale molto gentile ed educato (Yness y LyN). Cibo ottimo, location carina e pulita. Ci torneremo sicuramente",50,febbraio 2023,IT,Don Asador
"Sono stata in questo ristorante a cena con amici. All'inizio c'è stato un piccolo inconveniente, perché pur avendo prenotato abbiamo dovuto aspettare 30 minuti circa prima di poterci accomodare, però il personale ha cortesemente rimediato offrendoci del Cava nell'attesa. La cena è stata ottima, abbiamo...mangiato: empanadas di carne (buone così come le salse d'accompagnamento, provolone alla piastra (buono, ma forse un po' caro in proporzione al resto), grigliata mista (punto forte della loro cucina), patate cremose e crepe con dulce de leche e gelato alla vaniglia. Il servizio è stato ben gestito nei tempi e il personale è stato molto cortese e disponibile.Più",50,marzo 2022,IT,Don Asador
"Cercavamo un posto nelle vicinanze del nostro hotel in cui cenare. Viste le ottime recensioni, abbiamo deciso di provare. Il servizio è eccellente da quando entri a quando esci. Ad occuparsi di noi è stato Elias, che si è impegnato a parlare solo in italiano...:)
Tutto buonissimo. Ottimo rapporto qualità/prezzo.Più",50,febbraio 2023,IT,Don Asador
"IL ristorante migliore per mangiare carne! Il servizio eccellente, la qualità eccellente ottimo rapporto qualità prezzo  location molto carina! 
Un grazie in particolare ad Angel e Yvette che sono stati attenti ad ogni nostra esigenza! Sono molto simpatici, gentili e disponibili! Un esperienza fantastica! Grazie...ragazzi ! Ci vediamo anche a Madrid Don Asador!!!Più",50,febbraio 2023,IT,Don Asador
"Mangiato abbastanza bene, prezzi giusti sia per posto che per qualità. A fine pasto ci è stato offerto un digestivo (simile a limoncello) e un  baileys fatto in casa molto buono.
Servizio molto professionale e accogliente. Grazie mille a Lyn per averci accolto al meglio...in Don Asador.Più",50,febbraio 2023,IT,Don Asador
"Lyn è stata cordiale e disponibile. Preoccupata del cliente dall’inizio alla fine, ha cura del cliente e la cosa più bella è che ha sempre il sorriso per i clienti. Una mamma che cura i suoi clienti, ti fa sentire come a casa. Io sono...napoletana ed ho sentito il calore di casa. 
Il cibo tutto impeccabile, carne tenera e buonissimaPiù",50,febbraio 2023,IT,Don Asador
"Carne molto buona e di qualità, il personale molto disponibile e professionale, Lyn e Yvette ci hanno serviti alla perfezione. Consiglio a tutti",50,febbraio 2023,IT,Don Asador
"Carne gustosissima, porzioni abbondanti, salse da provare assolutamente. Il tutto in un locale con personale super accogliente. Lyn, che ci ha servito, premurosa e sempre sorridente.",50,febbraio 2023,IT,Don Asador
"Personale molto gentile e attento , si mangia molto bene una buona carne; ci hanno servito Yvete e Monica top, locale ***",40,gennaio 2023,IT,Don Asador
"Carne di alto livello, torneremo sicuramente. Il servizio di Ibeth, Lyn e Elias impeccabile. Il Malbec ha accompagnato la nostra cena in questo lungo viaggio dalla Spagna all’Argentina.",50,gennaio 2023,IT,Don Asador
"Cena molto buona, personale veramente gentile e accogliente. La cameriera Lyn veramente molto gentile e disponibile.",50,gennaio 2023,IT,Don Asador
All’arrivo abbiamo ricevuto un’ottima accoglienza 👍🏻 a seguire molta cortesia e gentilezza nel prendere l’ordine 👍🏻 e successivamente precisione nel servire 👍🏻,50,gennaio 2023,IT,Don Asador
"Locale fantastico, cibo buonissimo e camerieri gentilissimi. Elias (cameriere) è una persona simpatica e cordiale. Lo consiglio a tutti per tutte le occasioni.",50,gennaio 2023,IT,Don Asador
"Post fantastico e carne incredibile, Yvette, Fer e Yness ti fanno sentire a casa con un’ottima gestione ! Torneremo sicuro!",50,gennaio 2023,IT,Don Asador
