level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
10564,10771,9 Nine,"Fant dette på TripAdvisor, og ble litt skuffet. Det er nok for mange som får god score her...  
33 eur for komplett måltid er helt OK, god verdi for pengene. Men for mye salt, altfor store porsjoner. Det føles ikke bra for gjestene å sette...igjen halve porsjonen. Dessertene var variable. Min creme catalan smakte egentlig bare grøt, og spiste den ikke opp. 
Betjeningen var hyggelig, og vi hadde en fin kveld.  

Al i alt: overvurdert på tripadvisor.Mer",Norwegian,"Found this on Tripadvisor and was a little disappointed.There are enough for many who get good score here ...
33 EUR for complete meal is perfectly ok, good value for money.But too much salt, too large portions.It doesn't feel good for guests to put ... again half the portion.The desserts were variable.My Creme Catalan really tasted just porridge and didn't eat it up.
The service was nice and we had a nice evening.

Al in all: Overrated on Tripadvisor.Mer.",0.9686,30,april 2017,"['Steakhouse', 'International']",4.5
10605,10812,Con Gracia,"Bestilt bord, kom presis kl 2100. Tatt vel imot. Startet med cava. Vi gikk for 65€, matmenyen og 30€ vin pakke. Husker ikke de forskjellige rettene i detalj, og det sier vel litt. Det var godt, men ikke eksepsjonelt. Vinen var bra og spesielt vinen...til hovedretten.
Dette er ett dyrt sted, derfor hadde jeg også forventninger, de ble ikke helt oppfylt.
Ingen wow opplevelse.
Meget bra service gjennom hele måltidetMer",Norwegian,"Ordered table, came exactly at 2100. Well received.Started with Cava.We went for 65 €, the food menu and 30 € wine package.Don't remember the different dishes in detail, and it says a little.It was good, but not exceptional.The wine was good and especially the wine ... to the main course.
This is one expensive place, so I also had expectations, they were not fully fulfilled.
No wow experience.
Very good service throughout the meals",0.9443,30,February 2016,"['Mediterranean', 'Spanish']",4.5
10611,10818,Con Gracia,"Dette er en bra og flott restaurant, men ikke noe mer enn det. Det var rot med bordene, maten kom litt vel fort og hele stemningen manglet det litt på. Skal tilbake til Barcelona, men kommer ikke til å dra innom her.",Norwegian,"This is a good and great restaurant, but nothing more than that.It was rooted with the tables, the food came a little fast and the whole mood was missing a bit.Will be back to Barcelona, but will not visit here.",0.1779,30,October 2013,"['Mediterranean', 'Spanish']",4.5
10637,10844,Locavore Barcelona,Mer,Norwegian,Mer,0.0,30,november 2021,"['Spanish', 'Contemporary']",5.0
10656,10863,Prado de Flores,"En grei frokostplass med grei mat og avmålt personell som er avslappet. Litt sen servering. Ligger i en stille sidegate langt oppe i La Rambla, hvor det ellers ikke er så tett med frokostmuligheter. Spiste engelsk frokost her mens jeg ventet på flybussen som kjører...fra plassen nord for la Rambla. Den var grei, men ikke mere.Mer",Norwegian,"A good breakfast place with decent food and measured personnel who are relaxed.A little late serving.Located in a quiet side street far up in La Rambla, where there is otherwise not so close with breakfast opportunities.Ate English breakfast here while waiting for the airport bus running ... From the place north of La Rambla.It was fine, but no more. More",-0.1154,30,December 2014,"['Mediterranean', 'Spanish']",4.5
17813,18156,La Gastronomica Burgers,"Ikke dårlig mat tilberedt av sous-vide-metoden, men ribbeina hadde for mye fett. Delene er små (men servitør forklarte det foran).
Vår pris / kvalitet er 3 av 5.Mer",Norwegian,"Not bad food prepared by the sous-video method, but the ribs had too much fat.The parts are small (but the waiter explained it in front).
Our price / quality is 3 of 5.Mer",0.1511,30,January 2020,['Street Food'],5.0
17823,18166,Desoriente,"Dette er nok en veldig bra restaurant om du er veganer. Det som er grunnen til at det blir laveste karakter er at den står under sushi. Den har veldig gode anmeldelser på Tripadvisor, sikkert fordi det er fantastisk veganmat. Men, for de som er...glad i vanlig sushi er dette ikke bra. De går skuffet derfra. Det burde kommet bedre frem at all sushi er 100 % vegan. Bortsett fra det, har stedet hyggelige ansatte og et fint lokale.Mer",Norwegian,"This is probably a very good restaurant if you are vegan.The reason why it becomes the lowest character is that it is under sushi.It has very good reviews on Tripadvisor, probably because it is fantastic vegan food.But, for those who are ... happy in regular sushi this is not good.They go disappointed from there.It should be better that all sushi is 100 % vegan.Apart from that, the place has nice staff and a nice room.",0.9688,10,July 2022,"['Asian', 'Japanese Fusion']",5.0
17824,18167,BelleBuon,"Dro ditt på grunn av gode anmeldelser, i følge Tripadvisor skal restauranten være the best of det best. Vi ble dessverre skuffet av maten. Stor porsjon, men veldig kjedelig smak. Ville aldri dratt bort igjen, da maten strekker ikke til forventninger.",Norwegian,"Done yours because of good reviews, according to TripAdvisor, the restaurant should be the best of the best.Unfortunately, we were disappointed by the food.Large portion, but very dull taste.Would never pull away again, as the food does not extend to expectations.",-0.5051,30,July 2022,"['Italian', 'Neapolitan']",5.0
17827,18170,BelleBuon,"Helt grei mat, reiste ett stykke for å dra hit så ble litt skuffet. Trivelige ansatte mens maten var dessverre gjennomsnittlig.",Norwegian,"Quite decent food, traveled one piece to go here so was a little disappointed.Nice staff while the food was unfortunately average.",-0.34,30,January 2018,"['Italian', 'Neapolitan']",5.0
17855,18198,Le Romane,"Pizzaen var helt grei, men det er enkelt å lage en bedre pizza selv. Pizzaen ble også servert lunken. Det var også treg service. Egentlig ikke helt verdt pengene.Mer",Norwegian,"The pizza was perfectly fine, but it is easy to make a better pizza yourself.The pizza was also served lukewarm.There was also slow service.Not really worth the money.",0.9259,30,november 2019,"['Italian', 'Pizza']",5.0
17862,18205,Le Romane,"Hyggelige mennesker, interessant interiør, men for pengene er ikke så bra - maten var ok, men ikke noe spesielt, i deres prisklasse kan du få mer",Norwegian,"Nice people, interesting interiors, but for the money is not so good - the food was ok but nothing special, in their price range you can get more",-0.3356,30,December 2019,"['Italian', 'Pizza']",5.0
17917,18260,Blu Bar,Dette er en veldig travel restaurant i et nisjemarked og drar full nytte av sin klientell. Veldig treg og uoppmerksom serviceMer,Norwegian,This is a very busy restaurant in a niche market and benefits from its clientele.Very slow and inattentive services,0.3818,20,January 2020,"['Bar', 'Mediterranean']",5.0
17942,18285,Bella Italia,Vi ankom 7 stykker og det var tydeligvis uvanlig med så store bord for personalet. Men med smil og gode intensjoner kom vi på plass og fikk servert god mat. Gnocci bruscetta pizza og pasta var meget tilfredsstillende.,Norwegian,We arrived 7 pieces and it was obviously unusual with such large tables for the staff.But with smiles and good intentions we came into place and served good food.Gnocci Bruscetta pizza and pasta were very satisfactory.,0.8932,30,april 2016,"['Italian', 'Pizza']",5.0
17948,18291,Bella Italia,"Vi bestilte 2 x Penne Arabiattas, servitøren ga oss 2 Rigatoni pomodorros. Da vi utfordret henne da hun kom med oppvasken, døpte hun plutselig oppvasken til Penne Arabiattas. Jeg fysisk gikk tallerkenen tilbake til kjøkkenet for å forklare at dette ikke er det jeg bestilte....Den kom tilbake 5 minutter senere med litt chili innblandet i den samme pastaen som jeg returnerte. Personalet prøvde tydeligvis å lene seg på språkbarrieren, men navnene på italienske retter er de samme.
Vennepizzaen min ankom også den tiden det tok meg å skaffe meg 2 pastaretter og avslutte den siste. Denne restauranten reflekterer ikke vurderingen.Mer",Norwegian,"We ordered 2 x Penne Arabiattas, the waitress gave us 2 rigatoni pomodorros.When we challenged her when she came with the dishes, she suddenly baptized the dishes of Penne Arabiattas.I physically went back to the kitchen to explain that this is not what I ordered .... it came back 5 minutes later with a little chili involved in the same pasta I returned.The staff clearly tried to lean on the language barrier, but the names of Italian dishes are the same.
My friendship also arrived at the time it took me to get me 2 pasta dishes and end the last one.This restaurant does not reflect the assessment. More",0.6428,20,september 2019,"['Italian', 'Pizza']",5.0
17966,18309,"We love italy, Pasta & Pizza, Restaurante Barcelona","Vi lette etter et sted å spise, og vi stoppet der fordi vi var veldig slitne.
Vi forventet ikke noe da vi så prisene. Vi hadde pasta carbonara, og vi ble litt skuffet. Pastas var varmt, men ikke sausen! Også carbonara føltes som om den...kom ut av en boks.
Vinen var virkelig god.Mer",Norwegian,"We were looking for a place to eat, and we stopped there because we were very tired.
We didn't expect anything when we saw the prices.We had pasta carbonara and we were a little disappointed.Pastas were hot, but not the sauce!Also carbonara felt like it ... came out of a box.
The wine was really good. More",0.7419,30,,"['Italian', 'Pizza']",5.0
17973,18316,9 Nine,"Fant dette på TripAdvisor, og ble litt skuffet. Det er nok for mange som får god score her...  
33 eur for komplett måltid er helt OK, god verdi for pengene. Men for mye salt, altfor store porsjoner. Det føles ikke bra for gjestene å sette...igjen halve porsjonen. Dessertene var variable. Min creme catalan smakte egentlig bare grøt, og spiste den ikke opp. 
Betjeningen var hyggelig, og vi hadde en fin kveld.  

Al i alt: overvurdert på tripadvisor.Mer",Norwegian,"Found this on Tripadvisor and was a little disappointed.There are enough for many who get good score here ...
33 EUR for complete meal is perfectly ok, good value for money.But too much salt, too large portions.It doesn't feel good for guests to put ... again half the portion.The desserts were variable.My Creme Catalan really tasted just porridge and didn't eat it up.
The service was nice and we had a nice evening.

Al in all: Overrated on Tripadvisor.Mer.",0.9686,30,,"['Steakhouse', 'International']",4.5
18011,18354,Con Gracia,"Bestilt bord, kom presis kl 2100. Tatt vel imot. Startet med cava. Vi gikk for 65€, matmenyen og 30€ vin pakke. Husker ikke de forskjellige rettene i detalj, og det sier vel litt. Det var godt, men ikke eksepsjonelt. Vinen var bra og spesielt vinen...til hovedretten.
Dette er ett dyrt sted, derfor hadde jeg også forventninger, de ble ikke helt oppfylt.
Ingen wow opplevelse.
Meget bra service gjennom hele måltidetMer",Norwegian,"Ordered table, came exactly at 2100. Well received.Started with Cava.We went for 65 €, the food menu and 30 € wine package.Don't remember the different dishes in detail, and it says a little.It was good, but not exceptional.The wine was good and especially the wine ... to the main course.
This is one expensive place, so I also had expectations, they were not fully fulfilled.
No wow experience.
Very good service throughout the meals",0.9443,30,,"['Mediterranean', 'Spanish']",4.5
18017,18360,Con Gracia,"Dette er en bra og flott restaurant, men ikke noe mer enn det. Det var rot med bordene, maten kom litt vel fort og hele stemningen manglet det litt på. Skal tilbake til Barcelona, men kommer ikke til å dra innom her.",Norwegian,"This is a good and great restaurant, but nothing more than that.It was rooted with the tables, the food came a little fast and the whole mood was missing a bit.Will be back to Barcelona, but will not visit here.",0.1779,30,,"['Mediterranean', 'Spanish']",4.5
18044,18387,Prado de Flores,"En grei frokostplass med grei mat og avmålt personell som er avslappet. Litt sen servering. Ligger i en stille sidegate langt oppe i La Rambla, hvor det ellers ikke er så tett med frokostmuligheter. Spiste engelsk frokost her mens jeg ventet på flybussen som kjører...fra plassen nord for la Rambla. Den var grei, men ikke mere.Mer",Norwegian,"A good breakfast place with decent food and measured personnel who are relaxed.A little late serving.Located in a quiet side street far up in La Rambla, where there is otherwise not so close with breakfast opportunities.Ate English breakfast here while waiting for the airport bus running ... From the place north of La Rambla.It was fine, but no more. More",-0.1154,30,,"['Mediterranean', 'Spanish']",4.5
19261,10863,Prado de Flores,"En grei frokostplass med grei mat og avmålt personell som er avslappet. Litt sen servering. Ligger i en stille sidegate langt oppe i La Rambla, hvor det ellers ikke er så tett med frokostmuligheter. Spiste engelsk frokost her mens jeg ventet på flybussen som kjører...fra plassen nord for la Rambla. Den var grei, men ikke mere.Mer",Norwegian,"A good breakfast place with decent food and measured personnel who are relaxed.A little late serving.Located in a quiet side street far up in La Rambla, where there is otherwise not so close with breakfast opportunities.Ate English breakfast here while waiting for the airport bus running ... From the place north of La Rambla.It was fine, but no more. More",-0.1154,30,December 2014,"['Chinese', 'American']",5.0
19619,18387,Prado de Flores,"En grei frokostplass med grei mat og avmålt personell som er avslappet. Litt sen servering. Ligger i en stille sidegate langt oppe i La Rambla, hvor det ellers ikke er så tett med frokostmuligheter. Spiste engelsk frokost her mens jeg ventet på flybussen som kjører...fra plassen nord for la Rambla. Den var grei, men ikke mere.Mer",Norwegian,"A good breakfast place with decent food and measured personnel who are relaxed.A little late serving.Located in a quiet side street far up in La Rambla, where there is otherwise not so close with breakfast opportunities.Ate English breakfast here while waiting for the airport bus running ... From the place north of La Rambla.It was fine, but no more. More",-0.1154,30,,"['Chinese', 'American']",5.0
